Address
Bk0	Bk1	Bk2	Bk3	Bank	Data	Description	Value
51				GroupTraceability	EEP_ECUSerialNumber[4]	The ID of each ECU. (en Text)	0x35
52				GroupTraceability	EEP_ECUSerialNumber[5]	The ID of each ECU. (en Text)	0x36
53				GroupTraceability	EEP_ECUSerialNumber[6]	The ID of each ECU. (en Text)	0x37
54				GroupTraceability	EEP_ECUSerialNumber[7]	The ID of each ECU. (en Text)	0x38
55				GroupTraceability	EEP_ECUSerialNumber[8]	The ID of each ECU. (en Text)	0x00
56				GroupTraceability	EEP_ECUSerialNumber[9]	The ID of each ECU. (en Text)	0x00
57				GroupTraceability	EEP_ECUSerialNumber[10]	The ID of each ECU. (en Text)	0x00
58				GroupTraceability	EEP_ECUSerialNumber[11]	The ID of each ECU. (en Text)	0x00
59				GroupTraceability	EEP_ECUSerialNumber[12]	The ID of each ECU. (en Text)	0x00
60				GroupTraceability	EEP_ECUSerialNumber[13]	The ID of each ECU. (en Text)	0x00
61				GroupTraceability	EEP_ECUSerialNumber[14]	The ID of each ECU. (en Text)	0x00
62				GroupTraceability	EEP_ECUSerialNumber[15]	The ID of each ECU. (en Text)	0x00
63				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[0]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
64				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[1]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
65				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[2]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
66				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[3]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
67				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[4]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
68				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[5]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
69				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[6]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
70				GroupTraceability	EEP_SystemSupplierECUHardwareNumber[7]	systemSupplierECUHardwareNumberDataIdentifier (en Text)	0x20
71				GroupTraceability	EEP_HWVersion[0]	Hardware Version，V01A (en Text,V01A)	0x56
72				GroupTraceability	EEP_HWVersion[1]	Hardware Version，V01A (en Text,V01A)	0x30
73				GroupTraceability	EEP_HWVersion[2]	Hardware Version，V01A (en Text,V01A)	0x31
74				GroupTraceability	EEP_HWVersion[3]	Hardware Version，V01A (en Text,V01A)	0x42
75				GroupTraceability	EEP_HWVersion[4]	Hardware Version，V01A (en Text,V01A)	0x00
76				GroupTraceability	EEP_HWVersion[5]	Hardware Version，V01A (en Text,V01A)	0x00
77				GroupTraceability	EEP_HWVersion[6]	Hardware Version，V01A (en Text,V01A)	0x00
78				GroupTraceability	EEP_HWVersion[7]	Hardware Version，V01A (en Text,V01A)	0x00
79				GroupTraceability	EEP_HWRevision	Hardware Revision (en Text)	0x00
80				GroupTraceability	EEP_SWFingerPrintDataID[0]	 (en Text)	0x20
81				GroupTraceability	EEP_SWFingerPrintDataID[1]	 (en Text)	0x00
82				GroupTraceability	EEP_SWFingerPrintDataID[2]	 (en Text)	0x01
83				GroupTraceability	EEP_SWFingerPrintDataID[3]	 (en Text)	0x01
84				GroupTraceability	EEP_SWFingerPrintDataID[4]	 (en Text)	0x00
85				GroupTraceability	EEP_SWFingerPrintDataID[5]	 (en Text)	0x00
86				GroupTraceability	EEP_SWFingerPrintDataID[6]	 (en Text)	0xFF
87				GroupTraceability	EEP_SWFingerPrintDataID[7]	 (en Text)	0xFF
88				GroupTraceability	EEP_SWFingerPrintDataID[8]	 (en Text)	0xFF
89				GroupTraceability	EEP_SWFingerPrintDataID[9]	 (en Text)	0xFF
90				GroupTraceability	EEP_SWFingerPrintDataID[10]	 (en Text)	0xFF
91				GroupTraceability	EEP_SWFingerPrintDataID[11]	 (en Text)	0xFF
92				GroupTraceability	EEP_SWFingerPrintDataID[12]	 (en Text)	0xFF
93				GroupTraceability	EEP_DataFingerPrintDataID[0]	 (en Text)	0x20
94				GroupTraceability	EEP_DataFingerPrintDataID[1]	 (en Text)	0x00
95				GroupTraceability	EEP_DataFingerPrintDataID[2]	 (en Text)	0x01
96				GroupTraceability	EEP_DataFingerPrintDataID[3]	 (en Text)	0x01
97				GroupTraceability	EEP_DataFingerPrintDataID[4]	 (en Text)	0x00
98				GroupTraceability	EEP_DataFingerPrintDataID[5]	 (en Text)	0x00
99				GroupTraceability	EEP_DataFingerPrintDataID[6]	 (en Text)	0xFF
100				GroupTraceability	EEP_DataFingerPrintDataID[7]	 (en Text)	0xFF
101				GroupTraceability	EEP_DataFingerPrintDataID[8]	 (en Text)	0xFF
102				GroupTraceability	EEP_DataFingerPrintDataID[9]	 (en Text)	0xFF
103				GroupTraceability	EEP_DataFingerPrintDataID[10]	 (en Text)	0xFF
104				GroupTraceability	EEP_DataFingerPrintDataID[11]	 (en Text)	0xFF
105				GroupTraceability	EEP_DataFingerPrintDataID[12]	 (en Text)	0xFF
106				GroupTraceability	EEP_EEPROMVersion	EEP Version (en Text)	0x01
107				GroupTraceability	EEP_EEPROMRevision	EEP Version (en Text)	0x00
108				GroupTraceability	EEP_ManfactureSerialNumL	ManufactureSerialNum (en Text)	0x00
109				GroupTraceability	EEP_ManfactureSerialNumH	ManufactureSerialNum (en Text)	0x00
110				GroupTraceability	EEP_ProductModelType[0]	ProductModelInfo (en Text)	0x20
111				GroupTraceability	EEP_ProductModelType[1]	ProductModelInfo (en Text)	0x20
112				GroupTraceability	EEP_ProductModelType[2]	ProductModelInfo (en Text)	0x20
113				GroupTraceability	EEP_ProductModelType[3]	ProductModelInfo (en Text)	0x20
114				GroupTraceability	EEP_ProductModelType[4]	ProductModelInfo (en Text)	0x20
115				GroupTraceability	EEP_ProductModelType[5]	ProductModelInfo (en Text)	0x20
116				GroupTraceability	EEP_ProductModelType[6]	ProductModelInfo (en Text)	0x20
117				GroupTraceability	EEP_ProductModelType[7]	ProductModelInfo (en Text)	0x20
118				GroupTraceability	EEP_ProductModelType[8]	ProductModelInfo (en Text)	0x20
119				GroupTraceability	EEP_ProductModelType[9]	ProductModelInfo (en Text)	0x20
120				GroupTraceability	EEP_ProductModelType[10]	ProductModelInfo (en Text)	0x20
121				GroupTraceability	EEP_ProductModelType[11]	ProductModelInfo (en Text)	0x20
122				GroupTraceability	EEP_ProductModelType[12]	ProductModelInfo (en Text)	0x20
123				GroupTraceability	EEP_ProductModelType[13]	ProductModelInfo (en Text)	0x20
124				GroupTraceability	EEP_ProductModelType[14]	ProductModelInfo (en Text)	0x20
125				GroupTraceability	EEP_ProductModelType[15]	ProductModelInfo (en Text)	0x20
126				GroupTraceability	EEP_GroupTraceabilityReservedData2	ProductModelInfo (en Text)	0x00
127				GroupTraceability	EEP_ProductModelOutLookFuncCode	ProductModelInfo (en Text)	0x00
128				GroupTraceability	EEP_ProductModelOutLookFuncNum	ProductModelInfo (en Text)	0x01
129				GroupTraceability	EEP_VINCode[0]	VinCode (en Text)	0x20
130				GroupTraceability	EEP_VINCode[1]	VinCode (en Text)	0x20
131				GroupTraceability	EEP_VINCode[2]	VinCode (en Text)	0x20
132				GroupTraceability	EEP_VINCode[3]	VinCode (en Text)	0x20
133				GroupTraceability	EEP_VINCode[4]	VinCode (en Text)	0x20
134				GroupTraceability	EEP_VINCode[5]	VinCode (en Text)	0x20
135				GroupTraceability	EEP_VINCode[6]	VinCode (en Text)	0x20
136				GroupTraceability	EEP_VINCode[7]	VinCode (en Text)	0x20
137				GroupTraceability	EEP_VINCode[8]	VinCode (en Text)	0x20
138				GroupTraceability	EEP_VINCode[9]	VinCode (en Text)	0x20
139				GroupTraceability	EEP_VINCode[10]	VinCode (en Text)	0x20
140				GroupTraceability	EEP_VINCode[11]	VinCode (en Text)	0x20
141				GroupTraceability	EEP_VINCode[12]	VinCode (en Text)	0x20
142				GroupTraceability	EEP_VINCode[13]	VinCode (en Text)	0x20
143				GroupTraceability	EEP_VINCode[14]	VinCode (en Text)	0x20
144				GroupTraceability	EEP_VINCode[15]	VinCode (en Text)	0x20
145				GroupTraceability	EEP_VINCode[16]	VinCode (en Text)	0x20
146				GroupTraceability	EEP_MsgTmOutSleepDelay_L	Message TimeOut Sleep Delay	0x2C
147				GroupTraceability	EEP_MsgTmOutSleepDelay_H	Message TimeOut Sleep Delay	0x01
148				GroupTraceability	EEP_ODOClearCountMain	Reserved (en Text)	0x00
149				GroupTraceability	EEP_GroupTraceabilityReservedData0	Reserved (en Text)	0x00
150				GroupTraceability	EEP_GroupTraceabilityReservedData1	Reserved (en Text)	0x00
151				GroupTraceability	Libre_GroupTraceability	Unused	0x00
152				GroupPlantTraceability	Cks_GroupPlantTraceability_L	Checksum for bank "GroupPlantTraceability"	0x09
153				GroupPlantTraceability	Cks_GroupPlantTraceability_H	Checksum for bank "GroupPlantTraceability"	0x00
154				GroupPlantTraceability	EEP_StationTraceability[0]	Plant diag spec defination (en Text)	0x00
155				GroupPlantTraceability	EEP_StationTraceability[1]	Plant diag spec defination (en Text)	0x00
156				GroupPlantTraceability	EEP_StationTraceability[2]	Plant diag spec defination (en Text)	0x00
157				GroupPlantTraceability	EEP_StationTraceability[3]	Plant diag spec defination (en Text)	0x00
158				GroupPlantTraceability	EEP_StationTraceability[4]	Plant diag spec defination (en Text)	0x00
159				GroupPlantTraceability	EEP_StationTraceability[5]	Plant diag spec defination (en Text)	0x00
160				GroupPlantTraceability	EEP_StationTraceability[6]	Plant diag spec defination (en Text)	0x00
161				GroupPlantTraceability	EEP_StationTraceability[7]	Plant diag spec defination (en Text)	0x00
162				GroupPlantTraceability	EEP_RunInTestModeConfiguration[0]	Plant diag spec defination	0x00
163				GroupPlantTraceability	EEP_RunInTestModeConfiguration[1]	Plant diag spec defination	0x00
164				GroupPlantTraceability	EEP_RunInTestModeResult[0]	Plant diag spec defination	0x00
165				GroupPlantTraceability	EEP_RunInTestModeResult[1]	Plant diag spec defination	0x00
166				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[0]	Plant diag spec defination (en Text)	0xFF
167				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[1]	Plant diag spec defination (en Text)	0xFF
168				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[2]	Plant diag spec defination (en Text)	0xFF
169				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[3]	Plant diag spec defination (en Text)	0xFF
170				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[4]	Plant diag spec defination (en Text)	0xFF
171				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[5]	Plant diag spec defination (en Text)	0xFF
172				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[6]	Plant diag spec defination (en Text)	0xFF
173				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[7]	Plant diag spec defination (en Text)	0xFF
174				GroupPlantTraceability	EEP_PCBAReferenceAndRevisionWithSwE2P[8]	Plant diag spec defination (en Text)	0xFF
175				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[0]	Plant diag spec defination (en Text)	0xFF
176				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[1]	Plant diag spec defination (en Text)	0xFF
177				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[2]	Plant diag spec defination (en Text)	0xFF
178				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[3]	Plant diag spec defination (en Text)	0xFF
179				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[4]	Plant diag spec defination (en Text)	0xFF
180				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[5]	Plant diag spec defination (en Text)	0xFF
181				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[6]	Plant diag spec defination (en Text)	0xFF
182				GroupPlantTraceability	EEP_JCIProductReferenceAndRevision[7]	Plant diag spec defination (en Text)	0xFF
183				GroupPlantTraceability	EEP_PCBASerialNumber[0]	Plant diag spec defination (en Text)	0x00
184				GroupPlantTraceability	EEP_PCBASerialNumber[1]	Plant diag spec defination (en Text)	0x00
185				GroupPlantTraceability	EEP_PCBASerialNumber[2]	Plant diag spec defination (en Text)	0x00
186				GroupPlantTraceability	EEP_PCBASerialNumber[3]	Plant diag spec defination (en Text)	0x00
187				GroupPlantTraceability	EEP_SMDManufacturingDate[0]	Plant diag spec defination (en Text)	0x00
188				GroupPlantTraceability	EEP_SMDManufacturingDate[1]	Plant diag spec defination (en Text)	0x00
189				GroupPlantTraceability	EEP_SMDManufacturingDate[2]	Plant diag spec defination (en Text)	0x00
190				GroupPlantTraceability	EEP_SMDManufacturingDate[3]	Plant diag spec defination (en Text)	0x00
191				GroupPlantTraceability	EEP_SMDPlantNumber[0]	Plant diag spec defination (en Text)	0xFF
192				GroupPlantTraceability	EEP_SMDPlantNumber[1]	Plant diag spec defination (en Text)	0xFF
193				GroupPlantTraceability	EEP_SMDPlantNumber[2]	Plant diag spec defination (en Text)	0xFF
194				GroupPlantTraceability	EEP_TestOKCount	Test Ok counter	0x00
195				GroupPlantTraceability	EEP_GroupPlantTraceabilityReservedData0	Reserved	0x00
196				GroupPlantTraceability	EEP_GroupPlantTraceabilityReservedData1	Reserved	0x00
197				GroupPlantTraceability	EEP_GroupPlantTraceabilityReservedData2	Reserved	0x00
198				GroupPlantTraceability	EEP_GroupPlantTraceabilityReservedData3	Reserved	0x00
199				GroupPlantTraceability	Libre_GroupPlantTraceability	Unused	0x00
200				GroupDiagReserved	Cks_GroupDiagReserved_L	Checksum for bank "GroupDiagReserved"	0xFF
201				GroupDiagReserved	Cks_GroupDiagReserved_H	Checksum for bank "GroupDiagReserved"	0xFF
202				GroupDiagReserved	EEP_DiagReservedData[0]	Reserved data for further use (en Text)	0x00
203				GroupDiagReserved	EEP_DiagReservedData[1]	Reserved data for further use (en Text)	0x00
204				GroupDiagReserved	EEP_DiagReservedData[2]	Reserved data for further use (en Text)	0x00
205				GroupDiagReserved	EEP_DiagReservedData[3]	Reserved data for further use (en Text)	0x00
206				GroupDiagReserved	EEP_DiagReservedData[4]	Reserved data for further use (en Text)	0x00
207				GroupDiagReserved	EEP_DiagReservedData[5]	Reserved data for further use (en Text)	0x00
208				GroupDiagReserved	EEP_DiagReservedData[6]	Reserved data for further use (en Text)	0x00
209				GroupDiagReserved	EEP_DiagReservedData[7]	Reserved data for further use (en Text)	0x00
210	220	230	240	GroupOdo	Cks_GroupOdo_L	Checksum for bank "GroupOdo"	0xFF
211	221	231	241	GroupOdo	Cks_GroupOdo_H	Checksum for bank "GroupOdo"	0xFF
212	222	232	242	GroupOdo	EEP_OdoTotal_LL	 (en 100m,1 means 100m)	0x00
213	223	233	243	GroupOdo	EEP_OdoTotal_LH	 (en 100m,1 means 100m)	0x00
214	224	234	244	GroupOdo	EEP_OdoTotal_HL	 (en 100m,1 means 100m)	0x00
215	225	235	245	GroupOdo	EEP_OdoTotal_HH	 (en 100m,1 means 100m)	0x00
216	226	236	246	GroupOdo	EEP_OdoTripBase_LL	 (en 100m,1 means 100m)	0x00
217	227	237	247	GroupOdo	EEP_OdoTripBase_LH	 (en 100m,1 means 100m)	0x00
218	228	238	248	GroupOdo	EEP_OdoTripBase_HL	 (en 100m,1 means 100m)	0x00
219	229	239	249	GroupOdo	EEP_OdoTripBase_HH	 (en 100m,1 means 100m)	0x00
250				GroupPlantCalibiration	Cks_GroupPlantCalibiration_L	Checksum for bank "GroupPlantCalibiration"	0xFF
251				GroupPlantCalibiration	Cks_GroupPlantCalibiration_H	Checksum for bank "GroupPlantCalibiration"	0xFF
252				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData1	 (en Reserved)	0x00
253				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData2	 (en Reserved)	0x00
254				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData3	 (en Reserved)	0x00
255				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData4	 (en Reserved)	0x00
256				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData5	 (en Reserved)	0x00
257				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData6	 (en Reserved)	0x00
258				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData7	 (en Reserved)	0x00
259				GroupPlantCalibiration	EEP_GroupPlantCalibirationReservedData8	 (en Reserved)	0x00
260	286			GroupSTKDTC	Cks_GroupSTKDTC_L	Checksum for bank "GroupSTKDTC"	0xFF
261	287			GroupSTKDTC	Cks_GroupSTKDTC_H	Checksum for bank "GroupSTKDTC"	0xFE
262	288			GroupSTKDTC	EEPFaultCounterNetworkMgt[0]	EEPFaultCounterNetworkMgt	0x00
263	289			GroupSTKDTC	EEPFaultCounterNetworkMgt[1]	EEPFaultCounterNetworkMgt	0x00
264	290			GroupSTKDTC	EEPFaultCounterNetworkMgt[2]	EEPFaultCounterNetworkMgt	0x00
265	291			GroupSTKDTC	EEPFaultCounterNetworkMgt[3]	EEPFaultCounterNetworkMgt	0x00
266	292			GroupSTKDTC	EEPFaultCounterNetworkMgt[4]	EEPFaultCounterNetworkMgt	0x00
267	293			GroupSTKDTC	EEPFaultCounterNetworkMgt[5]	EEPFaultCounterNetworkMgt	0x00
268	294			GroupSTKDTC	EEPFaultCounterNetworkMgt[6]	EEPFaultCounterNetworkMgt	0x00
269	295			GroupSTKDTC	EEPFaultCounterNetworkMgt[7]	EEPFaultCounterNetworkMgt	0x00
270	296			GroupSTKDTC	EEPFaultCounterNetworkMgt[8]	EEPFaultCounterNetworkMgt	0x00
271	297			GroupSTKDTC	EEPFaultCounterNetworkMgt[9]	EEPFaultCounterNetworkMgt	0x00
272	298			GroupSTKDTC	EEPFlagsDefautSourcesCan0[0]	EEPFlagsDefautSourcesCan0	0x00
273	299			GroupSTKDTC	EEPFlagsDefautSourcesCan0[1]	EEPFlagsDefautSourcesCan0	0x00
274	300			GroupSTKDTC	EEPFlagsDefautSourcesCan0[2]	EEPFlagsDefautSourcesCan0	0x00
275	301			GroupSTKDTC	EEPFlagsDefautSourcesCan0[3]	EEPFlagsDefautSourcesCan0	0x00
276	302			GroupSTKDTC	EEPFlagsDefautSourcesCan0[4]	EEPFlagsDefautSourcesCan0	0x00
277	303			GroupSTKDTC	EEPFlagsDefautSourcesCan0[5]	EEPFlagsDefautSourcesCan0	0x00
278	304			GroupSTKDTC	EEPFlagsDefautSourcesCan0[6]	EEPFlagsDefautSourcesCan0	0x00
279	305			GroupSTKDTC	EEPFlagsDefautSourcesCan0[7]	EEPFlagsDefautSourcesCan0	0x00
280	306			GroupSTKDTC	EEPFlagsDefautSourcesCan0[8]	EEPFlagsDefautSourcesCan0	0x00
281	307			GroupSTKDTC	EEPFlagsDefautSourcesCan0[9]	EEPFlagsDefautSourcesCan0	0x00
282	308			GroupSTKDTC	EEPFlagsDefautSourcesCan1[0]	EEPFlagsDefautSourcesCan1	0x00
283	309			GroupSTKDTC	EEPFlagsDefautSourcesCan	EEPFlagsDefautSourcesCan	0x00
284	310			GroupSTKDTC	EEPFlagsDefectLin	EEPFlagsDefectLin	0x00
285	311			GroupSTKDTC	EEPDtcSelfDiag	EEPDtcSelfDiag	0x01
312	394			GroupDTC	Cks_GroupDTC_L	Checksum for bank "GroupDTC"	0xFF
313	395			GroupDTC	Cks_GroupDTC_H	Checksum for bank "GroupDTC"	0xFF
314	396			GroupDTC	EEP_DTCDatabase[0]	DTC	0x00
315	397			GroupDTC	EEP_DTCDatabase[1]	DTC	0x00
316	398			GroupDTC	EEP_DTCDatabase[2]	DTC	0x00
317	399			GroupDTC	EEP_DTCDatabase[3]	DTC	0x00
318	400			GroupDTC	EEP_DTCDatabase[4]	DTC	0x00
319	401			GroupDTC	EEP_DTCDatabase[5]	DTC	0x00
320	402			GroupDTC	EEP_DTCDatabase[6]	DTC	0x00
321	403			GroupDTC	EEP_DTCDatabase[7]	DTC	0x00
322	404			GroupDTC	EEP_DTCDatabase[8]	DTC	0x00
323	405			GroupDTC	EEP_DTCDatabase[9]	DTC	0x00
324	406			GroupDTC	EEP_DTCDatabase[10]	DTC	0x00
325	407			GroupDTC	EEP_DTCDatabase[11]	DTC	0x00
326	408			GroupDTC	EEP_DTCDatabase[12]	DTC	0x00
327	409			GroupDTC	EEP_DTCDatabase[13]	DTC	0x00
328	410			GroupDTC	EEP_DTCDatabase[14]	DTC	0x00
329	411			GroupDTC	EEP_DTCDatabase[15]	DTC	0x00
330	412			GroupDTC	EEP_DTCDatabase[16]	DTC	0x00
331	413			GroupDTC	EEP_DTCDatabase[17]	DTC	0x00
332	414			GroupDTC	EEP_DTCDatabase[18]	DTC	0x00
333	415			GroupDTC	EEP_DTCDatabase[19]	DTC	0x00
334	416			GroupDTC	EEP_DTCDatabase[20]	DTC	0x00
335	417			GroupDTC	EEP_DTCDatabase[21]	DTC	0x00
336	418			GroupDTC	EEP_DTCDatabase[22]	DTC	0x00
337	419			GroupDTC	EEP_DTCDatabase[23]	DTC	0x00
338	420			GroupDTC	EEP_DTCDatabase[24]	DTC	0x00
339	421			GroupDTC	EEP_DTCDatabase[25]	DTC	0x00
340	422			GroupDTC	EEP_DTCDatabase[26]	DTC	0x00
341	423			GroupDTC	EEP_DTCDatabase[27]	DTC	0x00
342	424			GroupDTC	EEP_DTCDatabase[28]	DTC	0x00
343	425			GroupDTC	EEP_DTCDatabase[29]	DTC	0x00
344	426			GroupDTC	EEP_DTCDatabase[30]	DTC	0x00
345	427			GroupDTC	EEP_DTCDatabase[31]	DTC	0x00
346	428			GroupDTC	EEP_DTCDatabase[32]	DTC	0x00
347	429			GroupDTC	EEP_DTCDatabase[33]	DTC	0x00
348	430			GroupDTC	EEP_DTCDatabase[34]	DTC	0x00
349	431			GroupDTC	EEP_DTCDatabase[35]	DTC	0x00
350	432			GroupDTC	EEP_DTCDatabase[36]	DTC	0x00
351	433			GroupDTC	EEP_DTCDatabase[37]	DTC	0x00
352	434			GroupDTC	EEP_DTCDatabase[38]	DTC	0x00
353	435			GroupDTC	EEP_DTCDatabase[39]	DTC	0x00
354	436			GroupDTC	EEP_DTCDatabase[40]	DTC	0x00
355	437			GroupDTC	EEP_DTCDatabase[41]	DTC	0x00
356	438			GroupDTC	EEP_DTCDatabase[42]	DTC	0x00
357	439			GroupDTC	EEP_DTCDatabase[43]	DTC	0x00
358	440			GroupDTC	EEP_DTCDatabase[44]	DTC	0x00
359	441			GroupDTC	EEP_DTCDatabase[45]	DTC	0x00
360	442			GroupDTC	EEP_DTCDatabase[46]	DTC	0x00
361	443			GroupDTC	EEP_DTCDatabase[47]	DTC	0x00
362	444			GroupDTC	EEP_DTCDatabase[48]	DTC	0x00
